scenario,path,style,tag,x,y,width,height,parent_x,parent_y,parent_width,parent_height,font_px
LD6-E2-1280x800,fig/3/24,edit,A02.01,1117.760000,434.800000,105.600000,46.200000,896.000000,96.000000,352.000000,616.000000,14.000000
LD6-E2-1280x800,fig/3/25,text,,920.640000,434.800000,186.560000,46.200000,896.000000,96.000000,352.000000,616.000000,14.000000
LD6-E2-1280x800,fig/3/26,text,,920.640000,490.240000,302.720000,190.960000,896.000000,96.000000,352.000000,616.000000,14.000000
LD6-E2-1280x800,fig/4,frame,,32.000000,96.000000,838.400000,616.000000,0.000000,0.000000,1280.000000,800.000000,14.000000
LD6-E2-1280x800,fig/4/1,text,wire,44.576000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/2,text,wire,43.076000,305.440000,3.000000,234.080000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/3,text,wire,44.576000,303.940000,624.608000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/4,text,wire,667.684000,305.440000,3.000000,52.920000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/5,text,wire,667.684000,240.200000,3.000000,118.160000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/6,text,wire,458.084000,310.440000,3.000000,47.920000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/7,text,wire,458.084000,240.200000,3.000000,60.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/8,text,wire,458.084000,400.360000,3.000000,46.760000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/9,text,wire,459.584000,445.620000,268.288000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/10,text,wire,726.372000,447.120000,3.000000,71.400000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/11,text,wire,499.544000,538.020000,45.840000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/12,text,wire,256.408000,538.020000,54.224000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/13,pushbutton,T12,651.184000,199.200000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/14,pushbutton,T11,441.584000,199.200000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/15,pushbutton,T10,651.184000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/16,pushbutton,T09,441.584000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/17,pushbutton,T08,709.872000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/18,pushbutton,T07,546.384000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/19,pushbutton,T06,462.544000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/20,pushbutton,T05,311.632000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/21,pushbutton,T04,219.408000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/22,pushbutton,T03,51.728000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/23,pushbutton,T02,51.728000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/24,pushbutton,T01,219.408000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/25,frame,component:V,484.736000,169.920000,159.296000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/25/1,text,reading:V,491.107840,173.862400,146.552320,57.164800,484.736000,169.920000,159.296000,98.560000,14.000000
LD6-E2-1280x800,fig/4/25/2,text,,494.293760,234.969600,140.180480,23.654400,484.736000,169.920000,159.296000,98.560000,12.000000
LD6-E2-1280x800,fig/4/26,text,lead:V,644.032000,217.700000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/27,text,lead:V,478.584000,217.700000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/28,frame,component:E2,90.688000,336.240000,125.760000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/28/1,text,reading:E2,95.718400,339.689600,115.699200,50.019200,90.688000,336.240000,125.760000,86.240000,14.000000
LD6-E2-1280x800,fig/4/28/2,text,,98.233600,393.158400,110.668800,20.697600,90.688000,336.240000,125.760000,86.240000,12.000000
LD6-E2-1280x800,fig/4/29,text,lead:E2,216.448000,377.860000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/30,text,lead:E2,88.728000,377.860000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/31,frame,component:R,484.736000,336.240000,159.296000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/31/1,text,reading:R,491.107840,339.689600,146.552320,50.019200,484.736000,336.240000,159.296000,86.240000,14.000000
LD6-E2-1280x800,fig/4/31/2,text,,494.293760,393.158400,140.180480,20.697600,484.736000,336.240000,159.296000,86.240000,12.000000
LD6-E2-1280x800,fig/4/32,text,lead:R,644.032000,377.860000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/33,text,lead:R,478.584000,377.860000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/34,frame,component:A,585.344000,484.080000,117.376000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/34/1,text,reading:A,590.039040,488.022400,107.985920,57.164800,585.344000,484.080000,117.376000,98.560000,14.000000
LD6-E2-1280x800,fig/4/34/2,text,,592.386560,549.129600,103.290880,23.654400,585.344000,484.080000,117.376000,98.560000,12.000000
LD6-E2-1280x800,fig/4/35,text,lead:A,702.720000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/36,text,lead:A,583.384000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/37,frame,component:K,354.784000,496.400000,100.608000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/37/1,text,reading:K,358.808320,499.849600,92.559360,50.019200,354.784000,496.400000,100.608000,86.240000,14.000000
LD6-E2-1280x800,fig/4/37/2,text,,360.820480,553.318400,88.535040,20.697600,354.784000,496.400000,100.608000,86.240000,12.000000
LD6-E2-1280x800,fig/4/38,text,lead:K,455.392000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/39,text,lead:K,348.632000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/40,frame,component:E1,90.688000,484.080000,125.760000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/40/1,text,reading:E1,95.718400,488.022400,115.699200,57.164800,90.688000,484.080000,125.760000,98.560000,14.000000
LD6-E2-1280x800,fig/4/40/2,text,,98.233600,549.129600,110.668800,23.654400,90.688000,484.080000,125.760000,98.560000,12.000000
LD6-E2-1280x800,fig/4/41,text,lead:E1,216.448000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/42,text,lead:E1,88.728000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/43,pushbutton,B03,702.720000,219.200000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,13.000000
LD6-E2-1280x800,fig/4/44,pushbutton,B02,702.720000,280.800000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/45,pushbutton,B01,702.720000,342.400000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/46,pushbutton,B13,514.080000,108.320000,146.720000,43.120000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/47,pushbutton,B12,358.976000,108.320000,146.720000,43.120000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/48,pushbutton,B11,203.872000,108.320000,146.720000,43.120000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/49,pushbutton,B10,48.768000,108.320000,146.720000,43.120000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/4/50,listbox,V02,65.536000,594.960000,612.032000,104.720000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E2-1280x800,fig/4/51,text,,694.336000,601.120000,159.296000,92.400000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E2-1280x800,fig/5,pushbutton,,1113.600000,744.000000,134.400000,35.200000,0.000000,0.000000,1280.000000,800.000000,14.000000
LD6-E2-1280x800,fig/6,text,,38.400000,716.000000,1203.200000,20.000000,0.000000,0.000000,1280.000000,800.000000,12.000000
LD6-E2-1280x800,fig/7,text,,902.400000,744.000000,192.000000,35.200000,0.000000,0.000000,1280.000000,800.000000,14.000000
LD6-E2-1280x800,fig/8,text,,38.400000,740.000000,832.000000,40.000000,0.000000,0.000000,1280.000000,800.000000,22.000000
LD6-E3-1280x800,fig/1,text,,32.000000,16.000000,1216.000000,28.000000,0.000000,0.000000,1280.000000,800.000000,12.000000
LD6-E3-1280x800,fig/2,text,,32.000000,44.000000,1216.000000,28.000000,0.000000,0.000000,1280.000000,800.000000,13.000000
LD6-E3-1280x800,fig/3,frame,,896.000000,96.000000,352.000000,616.000000,0.000000,0.000000,1280.000000,800.000000,14.000000
LD6-E3-1280x800,fig/3/1,pushbutton,B05,1064.960000,105.240000,158.400000,27.720000,896.000000,96.000000,352.000000,616.000000,12.000000
LD6-E3-1280x800,fig/3/2,pushbutton,,920.640000,105.240000,130.240000,27.720000,896.000000,96.000000,352.000000,616.000000,12.000000
LD6-E3-1280x800,fig/3/3,pushbutton,,920.640000,148.360000,302.720000,46.200000,896.000000,96.000000,352.000000,616.000000,15.000000
LD6-E3-1280x800,fig/3/26,text,,920.640000,490.240000,302.720000,190.960000,896.000000,96.000000,352.000000,616.000000,14.000000
LD6-E3-1280x800,fig/4,frame,,32.000000,96.000000,838.400000,616.000000,0.000000,0.000000,1280.000000,800.000000,14.000000
LD6-E3-1280x800,fig/4/1,text,wire,68.228000,400.360000,3.000000,118.160000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/2,text,wire,235.908000,305.440000,3.000000,52.920000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/3,text,wire,237.408000,303.940000,431.776000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/4,text,wire,667.684000,305.440000,3.000000,52.920000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/5,text,wire,667.684000,240.200000,3.000000,118.160000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/6,text,wire,458.084000,310.440000,3.000000,47.920000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/7,text,wire,458.084000,240.200000,3.000000,60.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/8,text,wire,458.084000,400.360000,3.000000,46.760000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/9,text,wire,459.584000,445.620000,268.288000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/10,text,wire,726.372000,447.120000,3.000000,71.400000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/11,text,wire,499.544000,538.020000,45.840000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/12,text,wire,256.408000,538.020000,54.224000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/13,pushbutton,T12,651.184000,199.200000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/14,pushbutton,T11,441.584000,199.200000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/15,pushbutton,T10,651.184000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/16,pushbutton,T09,441.584000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/17,pushbutton,T08,709.872000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/18,pushbutton,T07,546.384000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/19,pushbutton,T06,462.544000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/20,pushbutton,T05,311.632000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/21,pushbutton,T04,219.408000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/22,pushbutton,T03,51.728000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/23,pushbutton,T02,51.728000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/24,pushbutton,T01,219.408000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E3-1280x800,fig/4/25,frame,component:V,484.736000,169.920000,159.296000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/25/1,text,reading:V,491.107840,173.862400,146.552320,57.164800,484.736000,169.920000,159.296000,98.560000,14.000000
LD6-E3-1280x800,fig/4/25/2,text,,494.293760,234.969600,140.180480,23.654400,484.736000,169.920000,159.296000,98.560000,12.000000
LD6-E3-1280x800,fig/4/26,text,lead:V,644.032000,217.700000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/27,text,lead:V,478.584000,217.700000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/28,frame,component:E2,90.688000,336.240000,125.760000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/28/1,text,reading:E2,95.718400,339.689600,115.699200,50.019200,90.688000,336.240000,125.760000,86.240000,14.000000
LD6-E3-1280x800,fig/4/28/2,text,,98.233600,393.158400,110.668800,20.697600,90.688000,336.240000,125.760000,86.240000,12.000000
LD6-E3-1280x800,fig/4/29,text,lead:E2,216.448000,377.860000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E3-1280x800,fig/4/30,text,lead:E2,88.728000,377.860000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
