scenario,path,style,tag,x,y,width,height,parent_x,parent_y,parent_width,parent_height,font_px
LD7-E2-1280x800	fig/4/18	pushbutton	T05	546.384000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/19	pushbutton	T04	462.544000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/20	pushbutton	T03	311.632000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/21	pushbutton	T02	51.728000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/22	pushbutton	T01	219.408000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/23	frame	component:V	484.736000	231.520000	159.296000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/23/1	text	reading:V	491.107840	234.723200	146.552320	46.446400	484.736000	231.520000	159.296000	80.080000	14.000000
LD7-E2-1280x800	fig/4/23/2	text		494.293760	284.372800	140.180480	19.219200	484.736000	231.520000	159.296000	80.080000	12.000000
LD7-E2-1280x800	fig/4/24	text	lead:V	644.032000	270.060000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/25	text	lead:V	478.584000	270.060000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/26	frame	component:R	484.736000	342.400000	159.296000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/26/1	text	reading:R	491.107840	345.603200	146.552320	46.446400	484.736000	342.400000	159.296000	80.080000	14.000000
LD7-E2-1280x800	fig/4/26/2	text		494.293760	395.252800	140.180480	19.219200	484.736000	342.400000	159.296000	80.080000	12.000000
LD7-E2-1280x800	fig/4/27	text	lead:R	644.032000	380.940000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/28	text	lead:R	478.584000	380.940000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/29	frame	component:A	585.344000	453.280000	117.376000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/29/1	text	reading:A	590.039040	456.483200	107.985920	46.446400	585.344000	453.280000	117.376000	80.080000	14.000000
LD7-E2-1280x800	fig/4/29/2	text		592.386560	506.132800	103.290880	19.219200	585.344000	453.280000	117.376000	80.080000	12.000000
LD7-E2-1280x800	fig/4/30	text	lead:A	702.720000	491.820000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/31	text	lead:A	583.384000	491.820000	1.960000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/32	frame	component:K	354.784000	453.280000	100.608000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/32/1	text	reading:K	358.808320	456.483200	92.559360	46.446400	354.784000	453.280000	100.608000	80.080000	14.000000
LD7-E2-1280x800	fig/4/32/2	text		360.820480	506.132800	88.535040	19.219200	354.784000	453.280000	100.608000	80.080000	12.000000
LD7-E2-1280x800	fig/4/33	text	lead:K	455.392000	491.820000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/34	text	lead:K	348.632000	491.820000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/35	frame	component:E	90.688000	453.280000	125.760000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/35/1	text	reading:E	95.718400	456.483200	115.699200	46.446400	90.688000	453.280000	125.760000	80.080000	14.000000
LD7-E2-1280x800	fig/4/35/2	text		98.233600	506.132800	110.668800	19.219200	90.688000	453.280000	125.760000	80.080000	12.000000
LD7-E2-1280x800	fig/4/36	text	lead:E	216.448000	491.820000	1.960000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/37	text	lead:E	88.728000	491.820000	1.960000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/38	pushbutton	B03	702.720000	219.200000	150.912000	36.960000	32.000000	96.000000	838.400000	616.000000	13.000000
LD7-E2-1280x800	fig/4/39	pushbutton	B02	702.720000	280.800000	150.912000	36.960000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/40	pushbutton	B01	702.720000	342.400000	150.912000	36.960000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/41	pushbutton	B17	558.515200	108.320000	119.052800	43.120000	32.000000	96.000000	838.400000	616.000000	11.000000
LD7-E2-1280x800	fig/4/42	pushbutton	B16	431.078400	108.320000	119.052800	43.120000	32.000000	96.000000	838.400000	616.000000	11.000000
LD7-E2-1280x800	fig/4/43	pushbutton	B15	303.641600	108.320000	119.052800	43.120000	32.000000	96.000000	838.400000	616.000000	11.000000
LD7-E2-1280x800	fig/4/44	pushbutton	B14	176.204800	108.320000	119.052800	43.120000	32.000000	96.000000	838.400000	616.000000	11.000000
LD7-E2-1280x800	fig/4/45	pushbutton	B13	48.768000	108.320000	119.052800	43.120000	32.000000	96.000000	838.400000	616.000000	11.000000
LD7-E2-1280x800	fig/4/46	pushbutton	B12	459.584000	160.680000	197.024000	46.200000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/47	pushbutton	B11	254.176000	160.680000	197.024000	46.200000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/48	pushbutton	B10	48.768000	160.680000	197.024000	46.200000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/49	listbox	V02	65.536000	551.840000	612.032000	147.840000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/50	text		694.336000	114.480000	159.296000	80.080000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/5	pushbutton		1113.600000	744.000000	134.400000	35.200000	0.000000	0.000000	1280.000000	800.000000	14.000000
LD7-E2-1280x800	fig/6	text		38.400000	716.000000	1203.200000	20.000000	0.000000	0.000000	1280.000000	800.000000	12.000000
LD7-E2-1280x800	fig/7	text		902.400000	744.000000	192.000000	35.200000	0.000000	0.000000	1280.000000	800.000000	14.000000
LD7-E2-1280x800	fig/8	text		38.400000	740.000000	832.000000	40.000000	0.000000	0.000000	1280.000000	800.000000	22.000000
LD7-E3-1280x800	fig/1	text		32.000000	16.000000	1216.000000	28.000000	0.000000	0.000000	1280.000000	800.000000	12.000000
LD7-E3-1280x800	fig/2	text		32.000000	44.000000	1216.000000	28.000000	0.000000	0.000000	1280.000000	800.000000	13.000000
LD7-E3-1280x800	fig/3	frame		896.000000	96.000000	352.000000	616.000000	0.000000	0.000000	1280.000000	800.000000	29.000000
LD7-E3-1280x800	fig/3/1	pushbutton	B05	1064.960000	105.240000	158.400000	27.720000	896.000000	96.000000	352.000000	616.000000	12.000000
LD7-E3-1280x800	fig/3/2	pushbutton		920.640000	105.240000	130.240000	27.720000	896.000000	96.000000	352.000000	616.000000	12.000000
LD7-E3-1280x800	fig/3/3	pushbutton		920.640000	148.360000	302.720000	46.200000	896.000000	96.000000	352.000000	616.000000	15.000000
LD7-E3-1280x800	fig/3/24	edit	A03.02	1117.760000	382.440000	105.600000	46.200000	896.000000	96.000000	352.000000	616.000000	14.000000
LD7-E3-1280x800	fig/3/25	text		920.640000	382.440000	186.560000	46.200000	896.000000	96.000000	352.000000	616.000000	14.000000
LD7-E3-1280x800	fig/3/26	edit	A03.01	1117.760000	440.960000	105.600000	46.200000	896.000000	96.000000	352.000000	616.000000	14.000000
LD7-E3-1280x800	fig/3/27	text		920.640000	440.960000	186.560000	46.200000	896.000000	96.000000	352.000000	616.000000	14.000000
LD7-E3-1280x800	fig/3/28	text		920.640000	502.560000	302.720000	178.640000	896.000000	96.000000	352.000000	616.000000	14.000000
LD7-E3-1280x800	fig/4	frame		32.000000	96.000000	838.400000	616.000000	0.000000	0.000000	1280.000000	800.000000	29.000000
LD7-E3-1280x800	fig/4/1	text	wire	667.684000	292.560000	3.000000	68.880000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/2	text	wire	458.084000	292.560000	3.000000	68.880000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/3	text	wire	44.576000	491.820000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/4	text	wire	43.076000	216.120000	3.000000	277.200000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/5	text	wire	44.576000	214.620000	624.608000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/6	text	wire	667.684000	292.560000	3.000000	68.880000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/7	text	wire	667.684000	216.120000	3.000000	34.440000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/8	text	wire	458.084000	403.440000	3.000000	34.440000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/9	text	wire	459.584000	436.380000	268.288000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/10	text	wire	726.372000	437.880000	3.000000	34.440000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/11	text	wire	499.544000	491.820000	45.840000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/12	text	wire	256.408000	491.820000	54.224000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/13	pushbutton	T10	651.184000	251.560000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/14	pushbutton	T09	441.584000	251.560000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/15	pushbutton	T08	651.184000	362.440000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/16	pushbutton	T07	441.584000	362.440000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/17	pushbutton	T06	709.872000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/18	pushbutton	T05	546.384000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/19	pushbutton	T04	462.544000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/20	pushbutton	T03	311.632000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/21	pushbutton	T02	51.728000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/22	pushbutton	T01	219.408000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E3-1280x800	fig/4/23	frame	component:V	484.736000	231.520000	159.296000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/23/1	text	reading:V	491.107840	234.723200	146.552320	46.446400	484.736000	231.520000	159.296000	80.080000	14.000000
LD7-E3-1280x800	fig/4/23/2	text		494.293760	284.372800	140.180480	19.219200	484.736000	231.520000	159.296000	80.080000	12.000000
LD7-E3-1280x800	fig/4/24	text	lead:V	644.032000	270.060000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/25	text	lead:V	478.584000	270.060000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/26	frame	component:R	484.736000	342.400000	159.296000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/26/1	text	reading:R	491.107840	345.603200	146.552320	46.446400	484.736000	342.400000	159.296000	80.080000	14.000000
LD7-E3-1280x800	fig/4/26/2	text		494.293760	395.252800	140.180480	19.219200	484.736000	342.400000	159.296000	80.080000	12.000000
LD7-E3-1280x800	fig/4/27	text	lead:R	644.032000	380.940000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/28	text	lead:R	478.584000	380.940000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/29	frame	component:A	585.344000	453.280000	117.376000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/29/1	text	reading:A	590.039040	456.483200	107.985920	46.446400	585.344000	453.280000	117.376000	80.080000	14.000000
LD7-E3-1280x800	fig/4/29/2	text		592.386560	506.132800	103.290880	19.219200	585.344000	453.280000	117.376000	80.080000	12.000000
LD7-E3-1280x800	fig/4/30	text	lead:A	702.720000	491.820000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/31	text	lead:A	583.384000	491.820000	1.960000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/32	frame	component:K	354.784000	453.280000	100.608000	80.080000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E3-1280x800	fig/4/32/1	text	reading:K	358.808320	456.483200	92.559360	46.446400	354.784000	453.280000	100.608000	80.080000	14.000000
LD7-E3-1280x800	fig/4/32/2	text		360.820480	506.132800	88.535040	19.219200	354.784000	453.280000	100.608000	80.080000	12.000000
